WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
2005,5.340950575,1355.9,1031.555481,0.180060397,0.163490464,N/A,0.027643184,0.562689638,26.43,1.61,28.04,32.2,5.914583246,1427.830002,0.001650216,0.001498356,N/A,0.000190008,0.005156934,139.5664
2006,6.302579726,2033,1447.246985,0.170911411,0.177014459,0.013688609,0.046178935,0.495504873,27.09,2.06,29.15,32.94,7.074583421,1651.859978,0.001113091,0.001152838,2.97165E-05,0.000275686,0.003227064,122.4434
2007,5.589102685,1412.2,1035.781345,0.18500654,0.191620948,0.015651794,0.059815186,0.557678592,26.52,1.82,28.34,32.46,6.189166635,1323.389992,0.001547891,0.001603231,1.19049E-05,0.000454959,0.004665919,152.5212
2008,5.464930492,1659.4,1028.886515,0.165708665,0.257309597,0.002359407,0.042692618,0.518443528,26.66181818,1.865454545,28.52727273,32.78181818,6.119999935,1502.110004,0.00133811,0.002077795,6.3508E-06,0.000316017,0.004186471,147.9232
2009,5.022510356,1073.04,1521.978042,0.146695122,0.133434411,N/A,0.03911107,0.459704367,25.68,0.78,26.46,30.564,5.550000211,1434.450001,0.000996257,0.000906199,N/A,0.000221347,0.003122011,156.99265
2010,6.546073425,1257.054545,917.679585,0.274398498,0.304540598,N/A,0.036266306,0.858991923,25.63636364,1.047272727,26.68363637,30.56727273,7.512916664,1288.159981,0.00259606,0.002881231,N/A,0.000249536,0.008126846,185.49705
2011,5.188673973,1502.8,1226.612436,0.118347449,0.111672014,N/A,0.025463336,0.378428176,25.83,1.51,27.34,31.24,6.248750051,1515.339996,0.000904967,0.000853922,N/A,0.000162259,0.002893726,129.72425
2012,6.996886617,1268.2,985.96064,0.124682022,0.11265568,N/A,0.04095173,0.373569693,26.06,1.34,27.4,30.56,7.465416869,1258.899994,0.001191779,0.001076825,N/A,0.000358819,0.003570785,137.6602
2013,5.737730771,1757.333333,N/A,0.118305536,0.111199335,N/A,0.033400068,0.362827131,26.73333333,1.453333333,28.18666666,29.30666667,6.573333335,1382.789997,N/A,N/A,N/A,N/A,N/A,149.14295
2014,5.059116653,N/A,N/A,0.10877523,0.144168921,0.001159012,0.041909841,0.355753061,N/A,N/A,N/A,N/A,5.414583291,1255.889996,N/A,N/A,N/A,N/A,N/A,112.04015
2015,4.845115836,N/A,N/A,0.101614068,0.106556172,9.89E-05,0.050773592,0.344364059,N/A,N/A,N/A,N/A,5.562499955,1397.19001,N/A,N/A,N/A,N/A,N/A,137.6602
2016,6.449448158,N/A,N/A,0.105150779,0.16077677,N/A,0.021248271,0.396289347,N/A,N/A,N/A,N/A,7.248333228,1188.66,N/A,N/A,N/A,N/A,N/A,N/A
2017,5.955040825,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.754583458,1182.249981,N/A,N/A,N/A,N/A,N/A,N/A
2018,6.034014265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.739166513,1334.420006,N/A,N/A,N/A,N/A,N/A,N/A
2019,4.878583025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.144999981,467.0799942,N/A,N/A,N/A,N/A,N/A,N/A
